title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,8.2,1228454.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TR, TZ, UA, UG, YE, ZA, ZM, ZW",8.444444444444445,High
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,736377.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, FR, GF, GT, HN, IT, JM, LC, MX, NI, PA, PE, PF, PY, SM, SV, TC, TT, US, UY, VE",8.444444444444445,High
Unforgiven,movie,"Drama, Western",1992.0,8.2,446602.0,"AU, BA, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK",8.444444444444445,High
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,8.3,1113480.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Amores Perros,movie,"Drama, Thriller",2000.0,8.0,257839.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",8.444444444444445,High
Snatch,movie,"Comedy, Crime",2000.0,8.2,931865.0,"AT, BE, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW",8.444444444444445,High
Scarface,movie,"Crime, Drama",1983.0,8.3,945439.0,"CA, US",8.444444444444445,High
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968.0,8.3,741185.0,AU,8.444444444444445,High
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,8.9,2069609.0,"AU, CH, IN, IT, JP, KR, NZ, SM",8.444444444444445,High
Before Sunrise,movie,"Drama, Romance",1995.0,8.1,351396.0,"CY, KR, TR",8.444444444444445,High
American History X,movie,"Crime, Drama",1998.0,8.5,1214490.0,"AD, ES, PT",8.444444444444445,High
Incendies,movie,"Drama, Mystery, War",2010.0,8.3,217572.0,PS,8.444444444444445,High
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,8.6,1210721.0,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
The Shawshank Redemption,movie,Drama,1994.0,9.3,2981119.0,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK",8.444444444444445,High
Batman Begins,movie,"Action, Drama",2005.0,8.2,1619919.0,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IT, JP, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, SM, TH, TW",8.444444444444445,High
The Godfather Part II,movie,"Crime, Drama",1974.0,9.0,1403609.0,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TD, TZ, UG, ZA, ZM, ZW",8.444444444444445,High
The Godfather,movie,"Crime, Drama",1972.0,9.2,2079877.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Stand by Me,movie,"Adventure, Comedy, Drama",1986.0,8.1,455430.0,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, JM, LC, MD, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UA, US, UY, VE",8.444444444444445,High
Taxi Driver,movie,"Crime, Drama",1976.0,8.2,956947.0,"AE, AG, AO, AR, AT, BB, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, DE, DO, DZ, EC, EE, EG, GH, GQ, GT, HN, IL, IQ, IT, JM, JO, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MG, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PS, PY, QA, SA, SC, SM, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Léon: The Professional,movie,"Action, Crime, Drama",1994.0,8.5,1281767.0,"CA, JP",8.444444444444445,High
Amélie,movie,"Comedy, Romance",2001.0,8.3,809433.0,"JP, KR, TH",8.444444444444445,High
The Dark Knight Rises,movie,"Action, Drama, Thriller",2012.0,8.4,1881198.0,"AD, AT, AU, BA, BG, CH, CZ, DE, DK, ES, FI, HR, HU, IT, JP, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK, SM",8.444444444444445,High
Dune: Part Two,movie,"Action, Adventure, Drama",2024.0,8.5,566213.0,"AU, JP",8.444444444444445,High
La La Land,movie,"Comedy, Drama, Music",2016.0,8.0,701429.0,"AT, CH, DE, ID, IT, KR, SM, TH, TW",8.444444444444445,High
Joker,movie,"Crime, Drama, Thriller",2019.0,8.4,1570494.0,"AD, AU, BA, BE, BG, CH, CY, CZ, DK, ES, FI, FJ, FR, GF, GR, HR, HU, IT, KR, LU, MC, MD, ME, MK, NO, NZ, PF, PL, PT, RO, RS, SE, SI, SK, SM",8.444444444444445,High
The Hunt,movie,Drama,2012.0,8.3,378912.0,"DK, FI, NO, SE",8.444444444444445,High
Das Boot,movie,"Drama, War",1981.0,8.4,273208.0,"BE, DK, FI, LU, MT, NL, NO, SE",8.444444444444445,High
Akira,movie,"Animation, Drama, Fantasy",1988.0,8.0,211843.0,"AG, AR, BE, BO, BR, BZ, CH, CL, CO, CR, CU, DO, EC, FR, GT, HK, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE",8.444444444444445,High
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,8.0,869977.0,TW,8.444444444444445,High
Spider-Man: No Way Home,movie,"Action, Adventure, Fantasy",2021.0,8.2,923260.0,"AE, BH, CA, DZ, EG, FJ, FR, GF, HK, ID, IN, IQ, JO, KW, LB, LY, MA, MC, MU, MY, NZ, OM, PF, PH, PK, PS, PT, QA, SA, SG, TH, TN, TR, TW, YE",8.444444444444445,High
Whiplash,movie,"Drama, Music",2014.0,8.5,1039883.0,"AD, AE, AO, BE, BH, CA, CI, CV, DZ, EG, ES, GH, GR, HU, ID, IN, IQ, JP, KE, KR, KW, LB, LU, LY, MA, MG, ML, MT, MU, MZ, NG, NL, PF, PK, PS, PT, QA, RO, SC, SE, SN, TW, TZ, US, ZA, ZM, ZW",8.444444444444445,High
Her,movie,"Drama, Romance, Sci-Fi",2013.0,8.0,690041.0,"AL, BA, BG, CZ, FJ, HK, HR, HU, ID, IS, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW",8.444444444444445,High
The Revenant,movie,"Action, Adventure, Drama",2015.0,8.0,896672.0,"BE, DK, ES, NZ, PT, SE, TR",8.444444444444445,High
Gone Girl,movie,"Drama, Mystery, Thriller",2014.0,8.1,1100120.0,"AO, AT, BA, BG, CH, CI, CM, CV, CY, CZ, DE, DK, DZ, EE, FI, GH, GQ, GR, HR, HU, IS, KE, LI, LT, LV, LY, MA, MG, ML, MU, MZ, NE, NG, NO, PL, RO, RS, SC, SE, SI, SK, SN, TD, TN, TR, TZ, UA, UG, ZA, ZM, ZW",8.444444444444445,High
The Wolf of Wall Street,movie,"Biography, Comedy, Crime",2013.0,8.2,1644515.0,"AD, AU, DK, ES, FI, FJ, GB, GG, GI, HK, IE, IT, NO, NZ, PH, SE, SM, TH",8.444444444444445,High
Spider-Man: Across the Spider-Verse,movie,"Action, Adventure, Animation",2023.0,8.5,425292.0,"AD, AL, AO, AZ, BA, BE, BG, BY, CI, CM, CV, CZ, DK, ES, FI, GH, GQ, HR, HU, IL, KE, LU, MD, ME, MG, MK, ML, MU, MZ, NE, NG, NO, PL, RS, SC, SE, SI, SK, SN, TD, TZ, UA, UG, US, ZA, ZM, ZW",8.444444444444445,High
The Father,movie,"Drama, Mystery",2020.0,8.2,205383.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",8.444444444444445,High
Warrior,movie,"Action, Drama, Sport",2011.0,8.1,508036.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE",8.444444444444445,High
